,Character,Label,Title_score,Title_score_div,Title_in_name,Adj_score,Adj_score_div,Pron_score,Pron_score_div,Mention_count,Book_length,Span,Interaction_count,Char_count
0,Emma,f,5.0,0.0140056022409,0.0,15.0,0.0420168067227,-59.0,-0.165266106443,357.0,6703.0,14.0,82.0,46.0
1,Charles,m,1.0,0.00337837837838,0.0,-51.0,-0.172297297297,42.0,0.141891891892,296.0,6703.0,3069.0,71.0,46.0
2,Rodolphe,m,0.0,0.0,0.0,-3.0,-0.0252100840336,-9.0,-0.0756302521008,119.0,6703.0,1031.0,24.0,46.0
3,Léon,m,0.0,0.0,0.0,0.0,0.0,-3.0,-0.0252100840336,119.0,6703.0,1029.0,25.0,46.0
4,MHomais,m,1.0,0.0243902439024,-41.0,0.0,0.0,-6.0,-0.146341463415,41.0,6703.0,5381.0,15.0,46.0
5,Lheureux,m,-2.0,-0.0487804878049,0.0,0.0,0.0,-3.0,-0.0731707317073,41.0,6703.0,5.0,11.0,46.0
6,Félicité,f,0.0,0.0,0.0,0.0,0.0,-3.0,-0.0769230769231,39.0,6703.0,1586.0,21.0,46.0
7,Justin,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6703.0,1787.0,15.0,46.0
8,Lefrançois,f,32.0,0.941176470588,0.0,0.0,0.0,0.0,0.0,34.0,6703.0,3447.0,17.0,46.0
9,Rouault,m,-23.0,-0.71875,0.0,0.0,0.0,0.0,0.0,32.0,6703.0,3.0,10.0,46.0
10,Binet,m,0.0,0.0,0.0,0.0,0.0,-3.0,-0.107142857143,28.0,6703.0,4602.0,4.0,46.0
11,Hippolyte,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6703.0,1416.0,10.0,46.0
12,MLheureux,m,0.0,0.0,-23.0,0.0,0.0,-3.0,-0.130434782609,23.0,6703.0,2797.0,12.0,46.0
13,Tuvache,m,10.0,0.454545454545,0.0,-3.0,-0.136363636364,-3.0,-0.136363636364,22.0,6703.0,3854.0,8.0,46.0
14,Berthe,f,0.0,0.0,0.0,3.0,0.136363636364,3.0,0.136363636364,22.0,6703.0,1194.0,9.0,46.0
15,MBovary,m,0.0,0.0,-20.0,0.0,0.0,3.0,0.15,20.0,6703.0,1247.0,6.0,46.0
16,Hivert,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6703.0,3778.0,5.0,46.0
17,MLéon,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6703.0,2778.0,5.0,46.0
18,Canivet,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6703.0,116.0,6.0,46.0
19,Bournisien,m,-1.0,-0.0909090909091,0.0,0.0,0.0,0.0,0.0,11.0,6703.0,831.0,3.0,46.0
20,Vinçart,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6703.0,8.0,4.0,46.0
21,Rolet,f,9.0,0.9,0.0,0.0,0.0,0.0,0.0,10.0,6703.0,808.0,2.0,46.0
22,MCanivet,m,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,9.0,6703.0,3042.0,5.0,46.0
23,Suisse,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6703.0,72.0,0.0,46.0
24,Napoléon,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6703.0,3098.0,7.0,46.0
25,MGuillaumin,m,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,8.0,6703.0,3774.0,7.0,46.0
26,Lucie,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6703.0,72.0,2.0,46.0
27,Aveugle,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6703.0,994.0,1.0,46.0
28,Athalie,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6703.0,3095.0,6.0,46.0
29,MDerozerays,m,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,7.0,6703.0,918.0,2.0,46.0
30,MBoulanger,m,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,7.0,6703.0,453.0,2.0,46.0
31,MBinet,m,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,7.0,6703.0,1595.0,3.0,46.0
32,Vicomte,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6703.0,69.0,3.0,46.0
33,MTuvache,m,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,6.0,6703.0,2933.0,4.0,46.0
34,Artémise,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6703.0,155.0,3.0,46.0
35,Théodore,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6703.0,3469.0,3.0,46.0
36,Tellier,m,-3.0,-0.6,0.0,0.0,0.0,0.0,0.0,5.0,6703.0,650.0,3.0,46.0
37,Lempereur,f,4.0,0.8,0.0,0.0,0.0,0.0,0.0,5.0,6703.0,146.0,2.0,46.0
38,Lagardy,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6703.0,25.0,3.0,46.0
