,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (concierge, 5.61428571429))",,0.0,68.0,constant,exposition
1,Gervaise,"(blanchisseuse, (ouvrier, 2.86224489796))",,1.0,68.0,constant,exposition
2,Gervaise,"(blanchisseuse, (zingueur, 2.69897959184))",,2.0,68.0,constant,exposition
3,Gervaise,"(blanchisseuse, (blanchisseuse, 2.66836734694))",,3.0,68.0,constant,exposition
4,Gervaise,"(blanchisseuse, (brunisseuse, 2.53571428571))",,4.0,68.0,constant,exposition
5,Coupeau,"(zingueur, (zingueur, 5.7803030303))",1.0,0.0,53.0,constant,exposition
6,Coupeau,"(zingueur, (ouvrier, 3.8345959596))",0.379012807931,1.0,53.0,constant,exposition
7,Coupeau,"(zingueur, (concierge, 1.90764790765))",0.167139275075,2.0,53.0,constant,exposition
8,Coupeau,"(zingueur, (blanchisseuse, 1.74242424242))",,3.0,53.0,constant,exposition
9,Coupeau,"(zingueur, (giletière, 1.4595959596))",,4.0,53.0,constant,exposition
10,Lantier,"(tanneur, (blanchisseuse, 5.55952380952))",,0.0,24.0,constant,exposition
11,Lantier,"(tanneur, (zingueur, 3.31593406593))",0.174131168073,1.0,24.0,constant,exposition
12,Lantier,"(tanneur, (ouvrier, 3.2380952381))",0.169502132612,2.0,24.0,constant,exposition
13,Lantier,"(tanneur, (chapelier, 3.10714285714))",0.163784224972,3.0,24.0,constant,exposition
14,Lantier,"(tanneur, (mousse, 3.0))",0.0316785208244,4.0,24.0,constant,exposition
15,Lantier,"(chapelier, (blanchisseuse, 5.55952380952))",,0.0,24.0,constant,exposition
16,Lantier,"(chapelier, (zingueur, 3.31593406593))",0.15476016278,1.0,24.0,constant,exposition
17,Lantier,"(chapelier, (ouvrier, 3.2380952381))",0.185732937289,2.0,24.0,constant,exposition
18,Lantier,"(chapelier, (chapelier, 3.10714285714))",1.0,3.0,24.0,constant,exposition
19,Lantier,"(chapelier, (mousse, 3.0))",0.00348637355799,4.0,24.0,constant,exposition
20,Lorilleux,"(bijoutier, (zingueur, 5.99539170507))",0.230624141598,0.0,21.0,constant,exposition
21,Lorilleux,"(bijoutier, (ouvrier, 5.97634408602))",0.256228276726,1.0,21.0,constant,exposition
22,Lorilleux,"(bijoutier, (marchand, 5.93548387097))",0.252196077704,2.0,21.0,constant,exposition
23,Lorilleux,"(bijoutier, (dessinateur, 5.11827956989))",0.166350398206,3.0,21.0,constant,exposition
24,Lorilleux,"(bijoutier, (poseur, 5.0))",0.153036750889,4.0,21.0,constant,exposition
25,Boche,"(concierge, (concierge, 5.0))",1.0,0.0,17.0,constant,exposition
26,Boche,"(concierge, (blanchisseuse, 3.42128279883))",,1.0,17.0,constant,exposition
27,Nana,"(courtisane, (concierge, 5.60784313725))",0.183016796272,0.0,15.0,constant,exposition
28,Nana,"(courtisane, (blanchisseuse, 3.43137254902))",,1.0,15.0,constant,exposition
29,Nana,"(courtisane, (médecin, 3.26470588235))",0.0744466612034,2.0,15.0,constant,exposition
30,Nana,"(courtisane, (portière, 2.67647058824))",0.0329760517017,3.0,15.0,constant,exposition
31,Nana,"(courtisane, (maîtresse, 2.57843137255))",0.40716025142,4.0,15.0,constant,exposition
32,Virginie,"(laveuse, (concierge, 5.0))",0.155343066244,0.0,13.0,constant,exposition
33,Goujet,"(forgeron, (ouvrier, 5.97517730496))",0.338424376779,0.0,11.0,constant,exposition
34,Goujet,"(forgeron, (blanchisseuse, 5.79361702128))",,1.0,11.0,constant,exposition
35,Goujet,"(forgeron, (bonne, 3.4219858156))",0.0473338376056,2.0,11.0,constant,exposition
36,Goujet,"(forgeron, (forgeron, 3.01063829787))",1.0,3.0,11.0,constant,exposition
37,Goujet,"(forgeron, (cloutier, 2.73404255319))",0.284308663482,4.0,11.0,constant,exposition
38,Poisson,"(épicier, (blanchisseuse, 5.94082125604))",,0.0,10.0,constant,exposition
39,Poisson,"(épicier, (brunisseuse, 3.28623188406))",,1.0,10.0,constant,exposition
40,Poisson,"(épicier, (ébéniste, 3.07971014493))",0.333053561878,2.0,10.0,constant,exposition
41,Poisson,"(épicier, (couturière, 2.5))",0.278056308118,3.0,10.0,constant,exposition
42,Poisson,"(patron, (blanchisseuse, 5.94082125604))",,0.0,10.0,constant,exposition
43,Poisson,"(patron, (brunisseuse, 3.28623188406))",,1.0,10.0,constant,exposition
44,Poisson,"(patron, (ébéniste, 3.07971014493))",0.101173583028,2.0,10.0,constant,exposition
45,Poisson,"(patron, (couturière, 2.5))",0.221888644607,3.0,10.0,constant,exposition
46,Clémence,"(ouvrière, (repasseuse, 5.97222222222))",0.0284644389501,0.0,10.0,constant,exposition
47,Clémence,"(ouvrière, (patronne, 5.81481481481))",0.0908681394102,1.0,10.0,constant,exposition
48,Clémence,"(ouvrière, (apprentie, 5.62962962963))",0.0491525414031,2.0,10.0,constant,exposition
49,Clémence,"(ouvrière, (balancier, 5.59259259259))",0.0500841600655,3.0,10.0,constant,exposition
50,Clémence,"(ouvrière, (ouvrière, 5.0))",1.0,4.0,10.0,constant,exposition
51,Lerat,"(fleuriste, (marchand, 5.90512820513))",0.124795739859,0.0,10.0,constant,exposition
52,Lerat,"(fleuriste, (ouvrière, 3.35256410256))",0.0445621916333,1.0,10.0,constant,exposition
53,Lerat,"(fleuriste, (bonne, 3.12820512821))",0.0428212051629,2.0,10.0,constant,exposition
54,Lerat,"(fleuriste, (comique, 3.05128205128))",0.0135705997524,3.0,10.0,constant,exposition
55,Lerat,"(fleuriste, (cardeuse, 2.5))",,4.0,10.0,constant,exposition
56,Étienne,"(ouvrier, (ouvrier, 5.0))",1.0,0.0,10.0,constant,exposition
57,Étienne,"(hercheur, (ouvrier, 5.0))",,0.0,10.0,constant,exposition
58,MMadinier,"(patron, (marchand, 5.53929539295))",0.179286265982,0.0,10.0,constant,exposition
59,MMadinier,"(patron, (patron, 5.24796747967))",1.0,1.0,10.0,constant,exposition
60,MMadinier,"(patron, (poseur, 2.9512195122))",0.124574617703,2.0,10.0,constant,exposition
61,MMadinier,"(patron, (dessinateur, 2.61585365854))",0.102462262893,3.0,10.0,constant,exposition
62,MMadinier,"(patron, (patronne, 2.5))",0.50007737159,4.0,10.0,constant,exposition
63,MMadinier,"(ouvrier, (marchand, 5.53929539295))",0.191785032415,0.0,10.0,constant,exposition
64,MMadinier,"(ouvrier, (patron, 5.24796747967))",0.377311079447,1.0,10.0,constant,exposition
65,MMadinier,"(ouvrier, (poseur, 2.9512195122))",0.284948788744,2.0,10.0,constant,exposition
66,MMadinier,"(ouvrier, (dessinateur, 2.61585365854))",0.154000562187,3.0,10.0,constant,exposition
67,MMadinier,"(ouvrier, (patronne, 2.5))",0.156295360935,4.0,10.0,constant,exposition
68,Bibi-la-Grillade,"(ouvrier, (marchand, 5.43666169896))",0.191785032415,0.0,10.0,constant,exposition
69,Bibi-la-Grillade,"(ouvrier, (patronne, 2.5))",0.156295360935,1.0,10.0,constant,exposition
70,Bibi-la-Grillade,"(tanneur, (marchand, 5.43666169896))",0.302145244307,0.0,10.0,constant,exposition
71,Bibi-la-Grillade,"(tanneur, (patronne, 2.5))",0.114275036773,1.0,10.0,constant,exposition
72,Augustine,"(apprentie, (apprentie, 5.56439393939))",1.0,0.0,10.0,constant,exposition
73,Augustine,"(apprentie, (patronne, 2.73579545455))",0.174219115351,1.0,10.0,constant,exposition
